Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,Garage Spaces,HOA Amenities,HOA Exist YN,HOA Fee,HOA Fee Covers,HOA Name Text,HOA Phone,List Price,Listing Date,Acres,Lot Size,Sale Date,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,Close Date,Sale Price,State,Status,Status Change Timestamp,View,Year Built,Zip Code,Unit Number,Buyer's Financing
1515 Union Street,2,0,2,1247,San Francisco,San Francisco,12,08/31/2026 12:00:00 AM,,1,,TRUE,1962,"Decks, Garbage, Insurance - Common Area, Insurance - Structure, Landscaping/Gardening, Maintenance - Common Area, Recreation Facility, Sewer",Action Property Management,,2998888,06/03/2026 12:00:00 AM,,,06/15/2026 12:00:00 AM,0,ML82048287,06/03/2026 12:00:00 AM,2998888,0546-095,Residential,-122.42431,37.798224,07/07/2026 12:00:00 AM,2900000,California,Sold,07/07/2026 12:00:00 AM,,2020,94123,5C,All Cash No Loans
566 6th Avenue,3,0,4,2498,San Francisco,San Francisco,9,08/31/2026 12:00:00 AM,0,1,,TRUE,270,,,,2495000,05/27/2026 12:00:00 AM,0.069,3000,06/05/2026 12:00:00 AM,0,SF426124481,05/27/2026 12:00:00 AM,2495000,1548-034,Residential,-122.463847,37.77789,07/24/2026 12:00:00 AM,2775000,California,Sold,07/24/2026 12:00:00 AM,"San Francisco, Garden/Greenbelt",1904,94118,,Conventional Loan
14 Guy Place,3,0,3,2273,San Francisco,San Francisco,10,10/31/2026 12:00:00 AM,2,1,,TRUE,665,"Water, Insurance",,,2499000,06/08/2026 12:00:00 AM,0.04,1757,06/18/2026 12:00:00 AM,0,SF426135770,06/08/2026 12:00:00 AM,2499000,3749-183,Residential,-122.394562,37.786561,07/20/2026 12:00:00 AM,2770000,California,Sold,07/20/2026 12:00:00 AM,"City, San Francisco, Downtown",2000,94105,B,Not Reported
1502 Golden Gate Avenue,2,1,4,2466,San Francisco,San Francisco,47,07/31/2026 12:00:00 AM,,1,,TRUE,650,"Common Area Electricity, Garbage, Insurance, Maintenance - Unit Yard, Water/Sewer",1502-1504-1506 Golden Gate Avenue HOA,,2695000,04/29/2026 12:00:00 AM,0.084,3661,06/15/2026 12:00:00 AM,0,ML82043823,04/29/2026 12:00:00 AM,2850000,0753-032,Residential,-122.435578,37.779346,07/10/2026 12:00:00 AM,2695000,California,Sold,07/10/2026 12:00:00 AM,City Lights,1900,94115,,Conventional Loan
1242 Sacramento Street,2,0,2,1609,San Francisco,San Francisco,6,12/31/2026 12:00:00 AM,1,0,,TRUE,787,,,,2500000,06/24/2026 12:00:00 AM,0.076,3300,06/30/2026 12:00:00 AM,0,SF426136904,06/24/2026 12:00:00 AM,2500000,0221-119,Residential,-122.413394,37.792652,07/08/2026 12:00:00 AM,2650000,California,Sold,07/08/2026 12:00:00 AM,,1900,94108,1,All Cash No Loans
875 California Street,2,1,2,1554,San Francisco,San Francisco,0,11/30/2026 12:00:00 AM,0,1,"Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck",TRUE,2138,"Electricity, Maintenance - Exterior, Gas, Insurance - Homeowners , Landscaping/Gardening, Management Fee, Other, Security Service, , Water, Insurance, Common Area Gas, Maintenance - Common Area, Door Person",Crescent Owners Association,,2730000,07/14/2026 12:00:00 AM,0.217,9448,07/14/2026 12:00:00 AM,0,SF426137795,07/14/2026 12:00:00 AM,2730000,0256-125,Residential,-122.408721,37.791805,07/15/2026 12:00:00 AM,2615000,California,Sold,07/15/2026 12:00:00 AM,"City, San Francisco, City Lights, Downtown",2021,94108,705,All Cash No Loans
1330 Greenwich Street,2,0,2,1905,San Francisco,San Francisco,20,12/31/2026 12:00:00 AM,0,0,,TRUE,,,,,2495000,05/28/2026 12:00:00 AM,0.08,3491,06/17/2026 12:00:00 AM,0,SF426127961,05/28/2026 12:00:00 AM,2495000,0501-074,Residential,-122.42172,37.800944,07/01/2026 12:00:00 AM,2600024,California,Sold,07/01/2026 12:00:00 AM,,1895,94109,,All Cash No Loans
25 Sierra Street,2,1,4,2050,San Francisco,San Francisco,12,11/30/2026 12:00:00 AM,1,2,"Barbecue Area, Security Gate(s)",TRUE,1156,"Maintenance - Exterior, Landscaping/Gardening, Management Fee, , Water, Insurance, Common Area Gas, Maintenance - Common Area",Sierra Texas Homeowners Association,,1980000,06/19/2026 12:00:00 AM,1.119,48750,07/01/2026 12:00:00 AM,0,SF426140897,06/19/2026 12:00:00 AM,1980000,4101-107,Residential,-122.395503,37.758213,07/17/2026 12:00:00 AM,2561000,California,Sold,07/17/2026 12:00:00 AM,"Bay, City Lights",2006,94107,W306,All Cash No Loans
2169 Folsom Street,2,1,2,1585,San Francisco,San Francisco,7,12/13/2026 12:00:00 AM,0,0,"Garden/ Greenbelt/ Trails, Security Gate(s)",TRUE,834,"Maintenance - Exterior, Management Fee, , Water, Insurance - Structure",Box Factory Community Association,,1999000,06/18/2026 12:00:00 AM,0.679,29584,06/26/2026 12:00:00 AM,0,SF426122571,06/18/2026 12:00:00 AM,1999000,3573-100,Residential,-122.414606,37.762784,07/06/2026 12:00:00 AM,2500000,California,Sold,07/06/2026 12:00:00 AM,"Hills, City, Mountains, Bay Bridge, Other, Panoramic, San Francisco, Twin Peaks, City Lights, Downtown",2001,94110,M301,All Cash No Loans
488 Folsom Street,2,1,2,1549,San Francisco,San Francisco,3,10/31/2026 12:00:00 AM,0,0,"Club House, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck",TRUE,2389,"Maintenance - Exterior, Gas, Landscaping/Gardening, Management Fee, , Water, Door Person, Insurance - Earthquake",The Avery Condominium Owners Association,,2500000,05/26/2026 12:00:00 AM,,0,05/29/2026 12:00:00 AM,0,SF426133956,05/26/2026 12:00:00 AM,2500000,3737-124,Residential,-122.39456,37.787745,07/02/2026 12:00:00 AM,2500000,California,Sold,07/02/2026 12:00:00 AM,"Bay, Panoramic, San Francisco, Twin Peaks, City Lights, Downtown",2019,94105,4404,All Cash No Loans
301 Mission Street,3,0,3,2230,San Francisco,San Francisco,147,09/28/2026 12:00:00 AM,0,0,Gym/ Exercise Facility,TRUE,4251,"Maintenance - Exterior, Landscaping/Gardening, Management Fee, Pools, Spa, or Tennis, Security Service, Sewer, Water, Recreation Facility, Insurance, Insurance - Structure, Common Area Gas, Maintenance - Common Area, Door Person",,,2695000,02/23/2026 12:00:00 AM,1.163,50667,07/20/2026 12:00:00 AM,0,SF426101001,02/23/2026 12:00:00 AM,2995000,3719-359,Residential,-122.395932,37.790488,07/31/2026 12:00:00 AM,2500000,California,Sold,07/31/2026 12:00:00 AM,City,2009,94105,52D,All Cash No Loans
568 6th Avenue,3,0,3,0,San Francisco,San Francisco,0,09/07/2026 12:00:00 AM,0,1,,TRUE,187,", Insurance - Structure",566-568 6th Avenue,,2298000,06/26/2026 12:00:00 AM,0.069,3000,06/26/2026 12:00:00 AM,0,SF426139761,06/26/2026 12:00:00 AM,2298000,1548-034,Residential,-122.463845,37.777857,07/27/2026 12:00:00 AM,2455000,California,Sold,07/27/2026 12:00:00 AM,,1904,94118,,Conventional Loan
2746 Gough Street,2,0,2,1342,San Francisco,San Francisco,0,12/31/2026 12:00:00 AM,1,1,,TRUE,387,", Water, Insurance",2746 Gough St HOA,(201) 245-7759,1750000,07/13/2026 12:00:00 AM,0.061,2676,07/13/2026 12:00:00 AM,0,SF426141331,07/13/2026 12:00:00 AM,1750000,0528-034,Residential,-122.427181,37.798749,07/13/2026 12:00:00 AM,2410000,California,Sold,07/13/2026 12:00:00 AM,,1986,94123,2,All Cash No Loans
68 Belcher Street,3,0,3,1884,San Francisco,San Francisco,16,12/31/2026 12:00:00 AM,0,0,,TRUE,368,,,,2200000,06/30/2026 12:00:00 AM,0.072,3136,06/30/2026 12:00:00 AM,0,SF426147276,06/30/2026 12:00:00 AM,2200000,3537-120,Residential,-122.430421,37.768189,07/14/2026 12:00:00 AM,2400000,California,Sold,07/14/2026 12:00:00 AM,,2007,94114,2,Not Reported
555 4th Street,3,0,3,2585,San Francisco,San Francisco,20,08/31/2026 12:00:00 AM,0,0,Security Gate(s),TRUE,1193,"Landscaping/Gardening, Management Fee, Organized Activities, Roof, Security Service, Sewer, , Water, Recreation Facility, Common Area Gas, Maintenance - Common Area, Door Person",The Palms Owners Association,(415) 777-6600,1995000,05/26/2026 12:00:00 AM,1.452,63237,06/15/2026 12:00:00 AM,0,SF426133470,05/26/2026 12:00:00 AM,0,3776-159,Residential,-122.396728,37.779448,07/15/2026 12:00:00 AM,2375000,California,Sold,07/15/2026 12:00:00 AM,"City, City Lights, Garden/Greenbelt",2006,94107,107,Conventional Loan
320 Texas Street,2,0,3,1570,San Francisco,San Francisco,6,10/19/2026 12:00:00 AM,0,0,,TRUE,418,"Sewer, Water, Insurance - Structure",,,1875000,06/26/2026 12:00:00 AM,0.057,2487,07/02/2026 12:00:00 AM,0,SF426142485,06/26/2026 12:00:00 AM,1875000,4037-047,Residential,-122.39581,37.762293,07/13/2026 12:00:00 AM,2355000,California,Sold,07/13/2026 12:00:00 AM,"Bridge(s), City Lights",1912,94107,,Conventional Loan
2177 3rd Street,2,0,2,1420,San Francisco,San Francisco,8,07/31/2026 12:00:00 AM,0,0,,TRUE,1668,"Landscaping/Gardening, Management Fee, Sewer, , Water, Common Area Gas, Maintenance - Common Area",2177 3rd HOA,,2300000,07/01/2026 12:00:00 AM,0.679,29581,07/01/2026 12:00:00 AM,0,SF426144959,07/01/2026 12:00:00 AM,2300000,4045-245,Residential,-122.388416,37.762299,07/06/2026 12:00:00 AM,2300000,California,Sold,07/06/2026 12:00:00 AM,,2020,94107,621,All Cash No Loans
618 Sanchez Street,2,1,2,1320,San Francisco,San Francisco,26,12/31/2026 12:00:00 AM,0,0,,FALSE,,,,,2399000,06/05/2026 12:00:00 AM,0.055,2372,07/01/2026 12:00:00 AM,0,SF426129713,06/05/2026 12:00:00 AM,2399000,3601-104,Residential,-122.430602,37.759066,07/17/2026 12:00:00 AM,2300000,California,Sold,07/17/2026 12:00:00 AM,,1990,94114,,All Cash No Loans
201 Folsom Street,2,0,2,1366,San Francisco,San Francisco,0,12/31/2026 12:00:00 AM,0,0,"Club House, Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Barbecue Area, Pool, Recreation Room, Roof Deck, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1468,"Maintenance - Exterior, Landscaping/Gardening, Management Fee, Organized Activities, Pools, Spa, or Tennis, Roof, Security Service, Sewer, , Water, Recreation Facility, Common Area Gas, Maintenance - Common Area",LUMINA HOA,,2225000,07/06/2026 12:00:00 AM,1.731,75406,07/06/2026 12:00:00 AM,0,SF426134316,07/06/2026 12:00:00 AM,2225000,3746-589,Residential,-122.392037,37.788706,07/10/2026 12:00:00 AM,2295000,California,Sold,07/10/2026 12:00:00 AM,"Bay, Marina, Bay Bridge, San Francisco, Water, City Lights",2016,94105,27E,Conventional Loan
3645 Market Street,3,1,3,1804,San Francisco,San Francisco,9,11/11/2026 12:00:00 AM,0,0,,TRUE,706,"Maintenance - Exterior, Management Fee, Sewer, , Water, Insurance, Insurance - Structure, Common Area Gas, Maintenance - Common Area, Insurance - Earthquake",3645 Market Street Homeowners Associatio,,1695000,05/27/2026 12:00:00 AM,0.088,3831,06/05/2026 12:00:00 AM,0,SF426132242,05/27/2026 12:00:00 AM,1695000,2754-056,Residential,-122.441021,37.755513,07/15/2026 12:00:00 AM,2260000,California,Sold,07/15/2026 12:00:00 AM,"Bay, City, San Francisco, Water, City Lights, Garden/Greenbelt",2000,94131,2,All Cash No Loans
1942 Buchanan Street,1,0,2,1480,San Francisco,San Francisco,0,11/15/2026 12:00:00 AM,1,0,Security Gate(s),TRUE,485,", Water, Insurance - Structure, Common Area Gas, Maintenance - Common Area",,,2195000,07/21/2026 12:00:00 AM,0.043,1851,07/21/2026 12:00:00 AM,0,SF426129540,07/21/2026 12:00:00 AM,2195000,0662-054,Residential,-122.430024,37.788038,07/21/2026 12:00:00 AM,2200000,California,Sold,07/21/2026 12:00:00 AM,"Hills, City, City Lights",1904,94115,,Conventional Loan
939 Jackson Street,2,1,2,1540,San Francisco,San Francisco,12,12/31/2026 12:00:00 AM,0,1,Roof Deck,TRUE,731,"Maintenance - Exterior, Management Fee, Other, Roof, Sewer, , Water, Insurance, Common Area Gas, Maintenance - Common Area",939 Jackson Street HOA,(415) 531-1584,1795000,06/12/2026 12:00:00 AM,0.118,5156,06/24/2026 12:00:00 AM,0,SF426138935,06/12/2026 12:00:00 AM,1795000,0191-035,Residential,-122.410546,37.795325,07/13/2026 12:00:00 AM,2175000,California,Sold,07/13/2026 12:00:00 AM,"Bay, Bay Bridge, San Francisco, Water, City Lights, Downtown",2005,94133,103,Conventional Loan
1070 Green Street,2,0,2,1660,San Francisco,San Francisco,22,11/30/2026 12:00:00 AM,0,0,Gym/ Exercise Facility,TRUE,2976,"Maintenance - Exterior, Cable/Dish, Management Fee, , Water, Insurance - Structure, Common Area Gas, Maintenance - Common Area, Door Person",Green Hill Towers,,2149000,05/21/2026 12:00:00 AM,0.096,4199,06/12/2026 12:00:00 AM,0,SF426132170,05/21/2026 12:00:00 AM,2149000,0121-A008,Residential,-122.416898,37.798778,07/10/2026 12:00:00 AM,2160000,California,Sold,07/10/2026 12:00:00 AM,"San Francisco, City Lights",1961,94133,302,Not Reported
401 Harrison Street,2,0,2,1297,San Francisco,San Francisco,42,08/31/2026 12:00:00 AM,,0,,TRUE,1961,"Door Person, Landscaping/Gardening, Maintenance - Exterior, Management Fee, Water",One Rincon Hill Tower II Assn,,2198000,04/17/2026 12:00:00 AM,,,05/29/2026 12:00:00 AM,0,ML82043433,04/17/2026 7:27:55 AM,2198000,3765-629,Residential,-122.392396,37.786066,07/13/2026 12:00:00 AM,2128880,California,Sold,07/13/2026 12:00:00 AM,,2014,94105,33D,Conventional Loan
3183 Cesar Chavez Street,3,0,3,1764,San Francisco,San Francisco,27,06/22/2027 12:00:00 AM,0,0,,FALSE,,,,,1799000,06/25/2026 12:00:00 AM,0.05,2193,07/22/2026 12:00:00 AM,0,SF426141816,06/25/2026 12:00:00 AM,1799000,5503-038,Residential,-122.413228,37.748066,07/31/2026 12:00:00 AM,2125000,California,Sold,07/31/2026 12:00:00 AM,,1981,94110,1,Conventional Loan
1859 Vallejo Street,2,1,3,1928,San Francisco,San Francisco,5,09/30/2026 12:00:00 AM,0,1,,TRUE,621,"Maintenance - Exterior, Landscaping/Gardening, Management Fee, , Water, Insurance - Structure, Common Area Gas, Maintenance - Common Area",Ocean Beach Managment,(415) 221-6151,1998000,06/26/2026 12:00:00 AM,0.125,5451,07/01/2026 12:00:00 AM,0,SF426142465,06/26/2026 12:00:00 AM,1998000,0568-052,Residential,-122.427873,37.796025,07/27/2026 12:00:00 AM,2100000,California,Sold,07/27/2026 12:00:00 AM,,1909,94123,4,Conventional Loan
765 Market Street,2,1,2,1761,San Francisco,San Francisco,25,10/31/2026 12:00:00 AM,0,0,,TRUE,3737,"Maintenance - Exterior, Heating, Landscaping/Gardening, Management Fee, Security Service, , Water, Insurance - Structure, Common Area Gas, Maintenance - Common Area, Door Person, Insurance - Earthquake",,,2750000,06/11/2026 12:00:00 AM,1.381,60150,07/06/2026 12:00:00 AM,0,SF426127879,06/11/2026 12:00:00 AM,2750000,3706-260,Residential,-122.404552,37.78635,07/13/2026 12:00:00 AM,2100000,California,Sold,07/13/2026 12:00:00 AM,"Bay, Hills, City, Other, Panoramic, Twin Peaks, City Lights",2001,94103,PH2G,All Cash No Loans
2485 Union Street,1,0,1,1300,San Francisco,San Francisco,9,09/16/2026 12:00:00 AM,1,1,,TRUE,800,,St. Francis Manor HOA,,1650000,06/15/2026 12:00:00 AM,0.083,3633,06/24/2026 12:00:00 AM,0,SF426139521,06/15/2026 12:00:00 AM,1650000,0537-024,Residential,-122.440141,37.796377,07/17/2026 12:00:00 AM,2060000,California,Sold,07/17/2026 12:00:00 AM,"Bay, City, San Francisco, Water, City Lights, Downtown",1925,94123,3,Conventional Loan
571 14th Avenue,1,1,2,1768,San Francisco,San Francisco,8,11/02/2026 12:00:00 AM,1,1,,TRUE,250,,,,1695000,05/26/2026 12:00:00 AM,0.07,3060,06/03/2026 12:00:00 AM,0,SF426133680,05/26/2026 12:00:00 AM,1695000,1557-041,Residential,-122.472961,37.777412,07/09/2026 12:00:00 AM,2050000,California,Sold,07/09/2026 12:00:00 AM,Garden/Greenbelt,1922,94118,,Conventional Loan
338 Main Street,2,0,2,1401,San Francisco,San Francisco,96,07/31/2026 12:00:00 AM,0,0,,TRUE,1476,,,,1995000,04/16/2026 12:00:00 AM,,0,07/21/2026 12:00:00 AM,0,SF426118712,04/16/2026 12:00:00 AM,2195000,3746-162,Residential,-122.391499,37.788675,07/28/2026 12:00:00 AM,2025000,California,Sold,07/28/2026 12:00:00 AM,,0,94105,3G,All Cash No Loans
3190 Sacramento Street,2,0,2,1256,San Francisco,San Francisco,3,08/15/2026 12:00:00 AM,1,1,"Garden/ Greenbelt/ Trails, Security Gate(s)",TRUE,825,"Maintenance - Exterior, Landscaping/Gardening, Management Fee, Insurance - Structure, Common Area Gas, Maintenance - Common Area",,,1995000,05/25/2026 12:00:00 AM,0.334,14529,05/28/2026 12:00:00 AM,0,SF426130066,05/25/2026 12:00:00 AM,1995000,1006-032,Residential,-122.445386,37.788536,07/21/2026 12:00:00 AM,2015000,California,Sold,07/21/2026 12:00:00 AM,"City, City Lights",1979,94115,,Other
1151 Sanchez Street,2,0,2,0,San Francisco,San Francisco,10,10/31/2026 12:00:00 AM,0,1,,TRUE,562,,Johannaes Homeowners Association,(424) 384-9511,1495000,07/06/2026 12:00:00 AM,0.074,3238,07/16/2026 12:00:00 AM,0,SF426144356,07/06/2026 12:00:00 AM,1495000,6536-049,Residential,-122.429421,37.750629,07/27/2026 12:00:00 AM,2010000,California,Sold,07/27/2026 12:00:00 AM,,1900,94114,,Conventional Loan
201 Folsom Street,2,0,3,1401,San Francisco,San Francisco,12,12/31/2026 12:00:00 AM,0,0,"Club House, Gym/ Exercise Facility, Barbecue Area, Pool, Recreation Room, Roof Deck, Sauna, Sauna/ Spa/ Hot Tub",TRUE,1413,"Maintenance - Exterior, Landscaping/Gardening, Management Fee, Pools, Spa, or Tennis, Roof, Security Service, Sewer, , Water, Recreation Facility, Common Area Gas, Maintenance - Common Area",LUMINA HOA,,1795000,06/25/2026 12:00:00 AM,1.731,75406,07/07/2026 12:00:00 AM,0,SF426141998,06/25/2026 12:00:00 AM,1795000,3746-407,Residential,-122.392037,37.788706,07/24/2026 12:00:00 AM,1968000,California,Sold,07/24/2026 12:00:00 AM,"City, Park, City Lights, Garden/Greenbelt",2016,94105,3G,All Cash No Loans
650 Oak Street,2,0,3,1520,San Francisco,San Francisco,12,08/27/2026 12:00:00 AM,2,0,,TRUE,524,,650-652 Oak street,,1598000,06/06/2026 12:00:00 AM,0.08,3484,06/18/2026 12:00:00 AM,0,SF426135155,06/06/2026 12:00:00 AM,1598000,0828-042,Residential,-122.430119,37.774261,07/14/2026 12:00:00 AM,1900000,California,Sold,07/14/2026 12:00:00 AM,,1890,94117,,Not Reported
