Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,,HOA Amenities,HOA Exist YN,HOA Fee,Garage Spaces,HOA Phone,No Of Floors,List Price,Listing Date,Acres,Lot Size,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,State,Status,Status Change Timestamp,Style,View,Year Built,Zip Code,Unit Number,Owner Name,Buyer's Financing,Property Tax,No Of Stories
2550 Greenwich Street,3,1,4,3924,San Francisco,San Francisco,121,12/28/2026 12:00:00 AM,0,,,TRUE,,0,,,5550000,04/20/2026 12:00:00 AM,0.085,3713,0,SF426109060,04/20/2026 12:00:00 AM,5950000,0937-051,Residential,-122.441781,37.798371,California,Active,04/20/2026 12:00:00 AM,Edwardian,,1992,94123,,,,,0
301 Mission Street,3,1,3,3315,San Francisco,San Francisco,121,12/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Pool, Recreation Room, Roof Deck, Sauna, Sauna/ Spa/ Hot Tub",TRUE,4294,2,(415) 874-4700,,5500000,04/20/2026 12:00:00 AM,1.163,50667,0,SF426118871,04/20/2026 12:00:00 AM,5500000,3719-357,Residential,-122.395932,37.790488,California,Active,04/20/2026 12:00:00 AM,"Contemporary, Traditional","Bay, Marina, Bay Bridge, Mt. Diablo, City Lights, Downtown",2009,94105,52B,,,,58
1001 California Street,2,1,2,2980,San Francisco,San Francisco,7,01/27/2027 12:00:00 AM,2,,,TRUE,5432,0,,,5200000,08/12/2026 12:00:00 AM,0.108,4693,0,SF426149947,08/12/2026 12:00:00 AM,5200000,0254-089,Residential,-122.411041,37.791618,California,Active,08/12/2026 12:00:00 AM,Luxury,"Bay, City",1914,94108,7,,,,0
488 Folsom Street,3,0,3,2159,San Francisco,San Francisco,,12/31/2027 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Pool, Recreation Room, Roof Deck",TRUE,2561,0,,,4999999,09/04/2026 12:00:00 AM,1.142,49754,0,SF426151847,09/04/2026 12:00:00 AM,4999999,3737-148,Residential,-122.39456,37.787745,California,Active,09/04/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay, Bay Bridge, Panoramic, San Francisco, Water, City Lights",2019,94105,4901,,,,0
706 Mission Street,3,0,2,2780,San Francisco,San Francisco,160,03/12/2027 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Roof Deck, Security Gate(s),",TRUE,4983,0,,,4555000,03/12/2026 12:00:00 AM,,0,0,SF426111146,03/12/2026 12:00:00 AM,4555000,3706-329,Residential,-122.40257,37.78614,California,Active,03/12/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","City, Park, Downtown",2021,94103,801,,,,0
706 Mission Street,3,1,3,2911,San Francisco,San Francisco,133,09/01/2026 12:00:00 AM,0,,"Gym/ Exercise Facility,",TRUE,5234,0,,,4200000,04/08/2026 12:00:00 AM,2.01,87555,0,SF426119876,04/08/2026 12:00:00 AM,4200000,3706-363,Residential,-122.40257,37.78614,California,Active,04/08/2026 12:00:00 AM,"Contemporary, Custom, Luxury","Bay, City, Bay Bridge, Panoramic, San Francisco, Water, City Lights",2020,94103,16B,,,,0
1635 Chestnut Street,3,0,3,1805,San Francisco,San Francisco,,11/30/2026 12:00:00 AM,0,,,TRUE,400,0,,,4100000,11/01/2026 12:00:00 AM,0.072,3146,0,SF426137732,11/01/2026 12:00:00 AM,4100000,0495-046,Residential,-122.430312,37.801404,California,Active,11/01/2026 12:00:00 AM,,,1924,94123,,,,,0
181 Fremont Street,2,1,2,1926,San Francisco,San Francisco,328,12/15/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Roof Deck",TRUE,4414,1,,,4100000,09/25/2025 12:00:00 AM,,0,0,SF425076865,09/25/2025 12:00:00 AM,3450000,3719-476,Residential,-122.395459,37.789611,California,Active,09/25/2025 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, Hills, Bay Bridge, Panoramic, Park, San Francisco, Water, City Lights, Downtown",2018,94105,58A,,,,0
611 Washington Street,2,1,2,2879,San Francisco,San Francisco,84,09/06/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Pool",TRUE,3220,1,,,3999000,05/27/2026 12:00:00 AM,0.407,17722,0,SF426133783,05/27/2026 12:00:00 AM,3999000,0208-033,Residential,-122.403607,37.795235,California,Active,05/27/2026 12:00:00 AM,Luxury,"Bridge(s), City, Mountains, Bay Bridge, Panoramic, San Francisco, Water, City Lights, Downtown",1984,94111,2105,,,,2
2525 Van Ness Avenue,3,1,3,1951,San Francisco,San Francisco,,01/31/2027 12:00:00 AM,0,,"Barbecue Area, Roof Deck",TRUE,1238,0,,,3995000,09/10/2026 12:00:00 AM,0.253,11025,0,SF426155173,09/10/2026 12:00:00 AM,3995000,0527-109,Residential,-122.424354,37.79888,California,Active,09/10/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay, Golden Gate Bridge, Hills, City, San Francisco, Water",2024,94109,502,,,,7
1150 Sacramento Street,2,1,3,2617,San Francisco,San Francisco,43,12/30/2026 12:00:00 AM,0,,,TRUE,3127,0,,,3895000,07/07/2026 12:00:00 AM,0.341,14843,0,SF426142059,07/07/2026 12:00:00 AM,3895000,0222-050,Residential,-122.411814,37.792947,California,Active,07/07/2026 12:00:00 AM,"Luxury, Modern/High Tech",,1989,94108,101,,,,0
488 Folsom Street,2,1,2,1811,San Francisco,San Francisco,12,11/30/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck",TRUE,2463,0,,,3750000,08/07/2026 12:00:00 AM,,0,0,SF426151998,08/07/2026 12:00:00 AM,3750000,3737-152,Residential,-122.39456,37.787745,California,Active,08/07/2026 12:00:00 AM,"Luxury, Modern/High Tech","Bay, Bay Bridge, Panoramic, San Francisco, Water, City Lights",2019,94105,4905,,,,0
36 Meadow Drive,3,1,3,2486,San Francisco,San Francisco,14,11/30/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Roof Deck, Dog Park,",TRUE,2423,0,,,3595000,08/05/2026 12:00:00 AM,,0,0,SF426151707,08/05/2026 12:00:00 AM,3595000,8954-053,Residential,-122.367018,37.81084,California,Active,08/05/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech, Flat/Low Pitch","Bay, Golden Gate Bridge, Bridge(s), Mountains, Bay Bridge, Mt. Tamalpais, Panoramic, Park, Water, Garden/Greenbelt",0,94130,204,,,,0
706 Mission Street,2,1,2,2566,San Francisco,San Francisco,26,12/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Recreation Room, Security Gate(s)",TRUE,4805,0,,,3575000,07/24/2026 12:00:00 AM,,0,0,SF426149137,07/24/2026 12:00:00 AM,3575000,3706-326,Residential,-122.40257,37.78614,California,Active,07/24/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","City, City Lights, Downtown",2021,94103,8B,,,,0
301 Mission Street,3,0,3,2706,San Francisco,San Francisco,118,12/31/2026 12:00:00 AM,0,,,TRUE,4023,0,,,3495000,04/23/2026 12:00:00 AM,1.163,50667,0,SF426123351,04/23/2026 12:00:00 AM,3495000,3719-348,Residential,-122.395932,37.790488,California,Active,04/23/2026 12:00:00 AM,Luxury,,2009,94105,50A,,,,0
1 Bristol Court,2,1,3,2044,San Francisco,San Francisco,71,10/31/2026 12:00:00 AM,0,,"Park, Gym/ Exercise Facility, Barbecue Area, Roof Deck, Dog Park, , Trail(s)",TRUE,1906,0,,,3240000,06/09/2026 12:00:00 AM,,0,0,SF426137767,06/09/2026 12:00:00 AM,3240000,8954-135,Residential,-122.365285,37.811408,California,Active,06/09/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, Golden Gate Bridge, Bridge(s), Hills, Mountains, Panoramic, Water, City Lights",0,94130,403,,,,6
1 Steuart Ln ,2,0,2,1370,San Francisco,San Francisco,532,,0,,"Club House, Gym/ Exercise Facility, Sauna, Sauna/ Spa/ Hot Tub",TRUE,3024,1,(415) 294-8189,,3195000,03/05/2025 12:00:00 AM,0.469,20415,0,CC41087280,,4300000,3741-118,Residential,-122.391433,37.79167,California,Active,06/24/2026 12:00:00 AM,Other,,2021,94105,1103,,,,1
488 Folsom Street,2,1,2,1832,San Francisco,San Francisco,111,08/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area, Recreation Room, Roof Deck",TRUE,2469,0,,,3150000,04/30/2026 12:00:00 AM,,0,0,SF426126882,04/30/2026 12:00:00 AM,3150000,3737-165,Residential,-122.39456,37.787745,California,Active,04/30/2026 12:00:00 AM,"Luxury, Modern/High Tech","City, Other, Panoramic, San Francisco, Twin Peaks, City Lights",2019,94105,5203,,,,0
4135 California Street,3,0,2,1925,San Francisco,San Francisco,68,11/30/2026 12:00:00 AM,1,,Security Gate(s),TRUE,930,1,,,2995000,06/12/2026 12:00:00 AM,0.123,5370,0,SF426138815,06/12/2026 12:00:00 AM,2995000,1363-062,Residential,-122.462087,37.785122,California,Active,06/12/2026 12:00:00 AM,"Luxury, Modern/High Tech","City, San Francisco, Twin Peaks, City Lights",2026,94118,4,,,,4
301 Mission Street,3,0,2,1952,San Francisco,San Francisco,121,09/01/2026 12:00:00 AM,0,,,TRUE,3686,0,(415) 874-4700,,2995000,04/20/2026 12:00:00 AM,1.163,50667,0,SF426122869,04/20/2026 12:00:00 AM,2995000,3719-317,Residential,-122.396153,37.790382,California,Active,04/20/2026 12:00:00 AM,Luxury,,2009,94109,43D,,,,0
188 Minna Street,2,1,2,1792,San Francisco,San Francisco,201,12/31/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Pool, Roof Deck, Sauna/ Spa/ Hot Tub",TRUE,3828,1,,,2995000,01/30/2026 12:00:00 AM,0.759,33056,0,SF425092670,01/30/2026 12:00:00 AM,3250000,UNDE-FINED,Residential,-122.401331,37.786223,California,Active,01/30/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, City, Other, Panoramic, San Francisco, Twin Peaks, Water, City Lights",2005,94105,34D,,,,0
37 Meadow Drive,3,1,3,2331,San Francisco,San Francisco,145,08/31/2026 12:00:00 AM,0,,"Park, Gym/ Exercise Facility, Roof Deck, Dog Park, , Trail(s)",TRUE,2365,1,,,2895000,03/10/2026 12:00:00 AM,,0,0,SF426110503,03/10/2026 12:00:00 AM,2895000,8954-024,Residential,-122.36686,37.810766,California,Active,03/10/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, Golden Gate Bridge, Hills, Mountains, Mt. Tamalpais, Panoramic, Park, Water, Forest/Woods, City Lights",0,94130,3,,,,3
765 Market Street,2,1,2,1762,San Francisco,San Francisco,202,11/30/2026 12:00:00 AM,0,,,TRUE,3800,0,,,2850000,01/29/2026 12:00:00 AM,1.381,60150,0,SF426098779,01/29/2026 12:00:00 AM,3200000,3706-197,Residential,-122.404552,37.78635,California,Active,01/29/2026 12:00:00 AM,"Contemporary, Luxury","Bay, City, San Francisco, Water, City Lights, Downtown",2001,94103,30G,,,,0
2655 Bush Street,2,0,3,1600,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,,,,TRUE,1212,2,,,2750000,05/29/2026 12:00:00 AM,,,0,ML82049157,05/29/2026 3:59:20 PM,2750000,1052-071,Residential,-122.440848,37.785792,California,Active,05/29/2026 3:59:20 PM,,,2017,94115,201,,,,1
764 Clayton Street,3,1,4,2255,San Francisco,San Francisco,9,12/31/2026 12:00:00 AM,0,,,TRUE,,1,,,2695000,08/10/2026 12:00:00 AM,0.061,2650,0,SF426152278,08/10/2026 12:00:00 AM,2695000,1254-125,Residential,-122.447961,37.767713,California,Active,08/10/2026 12:00:00 AM,,,1895,94117,,,,,2
999 Green Street,2,0,2,1681,San Francisco,San Francisco,100,09/30/2026 12:00:00 AM,0,,,TRUE,3338,1,,,2695000,05/11/2026 12:00:00 AM,,0,0,SF426100185,05/11/2026 12:00:00 AM,2895000,0127-087,Residential,-122.415262,37.798475,California,Active,05/11/2026 12:00:00 AM,Luxury,,1964,94133,2104,,,,0
999 Green Street,2,0,1,1473,San Francisco,San Francisco,,01/01/2027 12:00:00 AM,1,,,TRUE,2521,1,,,2695000,12/31/2026 12:00:00 AM,0.328,14264,0,SF425044739,12/31/2026 12:00:00 AM,2695000,0127-049,Residential,-122.415249,37.79848,California,Active,12/31/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, City, Mountains, Panoramic, San Francisco, Water, City Lights",1964,94133,1401,,,,0
219 Missouri Street,4,0,4,1904,San Francisco,San Francisco,,11/28/2026 12:00:00 AM,0,,,TRUE,600,0,,,2500000,10/28/2026 12:00:00 AM,0.064,2800,0,SF426129320,10/28/2026 12:00:00 AM,2500000,4002-022,Residential,-122.396397,37.763558,California,Active,10/28/2026 12:00:00 AM,"Custom, Luxury",,2026,94107,,,,,0
488 Folsom Street,2,0,2,1544,San Francisco,San Francisco,,05/31/2027 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Pool, Roof Deck",TRUE,2388,0,,,2398000,10/31/2026 12:00:00 AM,1.142,49754,0,SF426141893,10/31/2026 12:00:00 AM,2398000,3737-064,Residential,-122.39456,37.787745,California,Active,10/31/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, San Francisco, Twin Peaks, City Lights, Downtown",2019,94105,3404,,,,0
40 Annapolis Terrace,3,0,3,1840,San Francisco,San Francisco,6,08/13/2027 12:00:00 AM,0,,,TRUE,300,1,,,2395000,08/13/2026 12:00:00 AM,0.057,2500,0,SF426148341,08/13/2026 12:00:00 AM,2395000,1163-044,Residential,-122.447604,37.777942,California,Active,08/13/2026 12:00:00 AM,,,1939,94118,,,,,2
2171 Sacramento Street,2,0,3,1900,San Francisco,San Francisco,6,12/31/2026 12:00:00 AM,1,,,TRUE,1182,1,,,2395000,08/13/2026 12:00:00 AM,0.127,5538,0,SF426152905,08/13/2026 12:00:00 AM,2395000,0639-029,Residential,-122.428515,37.790195,California,Active,08/13/2026 12:00:00 AM,"Luxury, Other","City, Other, Park, San Francisco, Twin Peaks, City Lights",1970,94109,13,,,,0
188 Minna Street,2,1,2,1670,San Francisco,San Francisco,33,12/31/2026 12:00:00 AM,0,,,TRUE,3743,0,(415) 284-4090,,2395000,07/17/2026 12:00:00 AM,0.759,33056,0,SF426122156,07/17/2026 12:00:00 AM,2395000,3722-321,Residential,-122.401331,37.786223,California,Active,07/17/2026 12:00:00 AM,Modern/High Tech,City,2005,94105,32C,,,,0
239 Brannan Street,3,0,3,1645,San Francisco,San Francisco,424,08/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Pool",TRUE,1862,1,(415) 348-0092,,2395000,05/30/2025 12:00:00 AM,1.905,82966,0,SF425037091,05/30/2025 12:00:00 AM,2395000,3789-827,Residential,-122.390752,37.782604,California,Active,05/30/2025 12:00:00 AM,,"Bridge(s), City, Bay Bridge, Water",2002,94107,14A,,,,14
2949 Jackson Street,2,0,3,1722,San Francisco,San Francisco,2,10/31/2026 12:00:00 AM,1,,,TRUE,839,2,,,2375000,08/17/2026 12:00:00 AM,0.074,3214,0,SF426155202,08/17/2026 12:00:00 AM,2375000,981,Residential,-122.443581,37.791048,California,Active,08/17/2026 12:00:00 AM,"Art Deco, Flat/Low Pitch, Vintage","City, Other, Panoramic, San Francisco, Twin Peaks, City Lights",1939,94115,,,,,0
170 Pacific Avenue,3,0,3,1826,San Francisco,San Francisco,14,10/31/2026 12:00:00 AM,0,,None,TRUE,1879,0,,,2358000,08/05/2026 12:00:00 AM,2.057,89586,0,SF426152095,08/05/2026 12:00:00 AM,2358000,0167-031,Residential,-122.399627,37.798289,California,Active,08/05/2026 12:00:00 AM,,"City, City Lights",1986,94111,31,,,,0
1388 Gough Street,3,0,3,2708,San Francisco,San Francisco,87,08/31/2026 12:00:00 AM,0,,,TRUE,3700,0,,,2300000,05/24/2026 12:00:00 AM,0.575,25061,0,SF426107911,05/24/2026 12:00:00 AM,2600000,0696-094,Residential,-122.424516,37.785943,California,Active,05/24/2026 12:00:00 AM,Luxury,,1992,94109,1301,,,,0
488 Folsom Street,2,0,2,1142,San Francisco,San Francisco,12,02/28/2027 12:00:00 AM,0,,"Gym/ Exercise Facility, Barbecue Area, Pool, Roof Deck",TRUE,2274,0,,,2298000,08/07/2026 12:00:00 AM,1.142,49754,0,SF426151281,08/07/2026 12:00:00 AM,2298000,3737-126,Residential,-122.39456,37.787745,California,Active,08/07/2026 12:00:00 AM,"Contemporary, Luxury","Bay, City, Bay Bridge, San Francisco, Water",2019,94105,4406,,,,0
425 1st Street,2,0,2,1309,San Francisco,San Francisco,7,12/31/2026 12:00:00 AM,0,,"Gym/ Exercise Facility, Other, Barbecue Area, Pool, Recreation Room, Sauna/ Spa/ Hot Tub",TRUE,1697,0,(949) 450-0202,,2295000,08/12/2026 12:00:00 AM,1.286,56024,0,SF426145829,08/12/2026 12:00:00 AM,2295000,3765-314,Residential,-122.392043,37.786014,California,Active,08/12/2026 12:00:00 AM,"Contemporary, Luxury","Bay, Bay Bridge, Other, Panoramic, City Lights",2008,94105,4402,,,,0
4738 25th Street,3,0,4,1894,San Francisco,San Francisco,5,12/31/2026 12:00:00 AM,1,,,TRUE,172,1,,,2295000,08/14/2026 12:00:00 AM,0.039,1695,0,SF426146449,08/14/2026 12:00:00 AM,2295000,6501-066,Residential,-122.442281,37.749433,California,Active,08/14/2026 12:00:00 AM,"Contemporary, Luxury","City, San Francisco, Downtown, Garden/Greenbelt",1996,94114,,,,,2
942 South Van Ness Avenue,3,1,3,1890,San Francisco,San Francisco,32,09/18/2026 12:00:00 AM,1,,,TRUE,525,1,,,2295000,06/12/2026 12:00:00 AM,0.1,4340,0,SF426139171,06/12/2026 12:00:00 AM,1995000,0000-000,Residential,-122.417188,37.758024,California,Active,06/12/2026 12:00:00 AM,,,1910,94110,,,,,0
30 Prescott Court,2,0,3,1772,San Francisco,San Francisco,,02/27/2027 12:00:00 AM,0,,,TRUE,400,0,,,2250000,12/24/2026 12:00:00 AM,0.03,1300,0,SF426155398,12/24/2026 12:00:00 AM,2250000,0143-052,Residential,-122.403097,37.798875,California,Active,12/24/2026 12:00:00 AM,Luxury,,1907,94133,,,,,0
1 South Park Street,2,0,3,1585,San Francisco,San Francisco,100,09/30/2026 12:00:00 AM,0,,Other,TRUE,988,0,,,2200000,05/11/2026 12:00:00 AM,0.385,16754,0,SF426121412,05/11/2026 12:00:00 AM,2300000,3775-216,Residential,-122.392875,37.782055,California,Active,05/11/2026 12:00:00 AM,Luxury,,2007,94107,411,,,,0
301 Main Street,2,0,2,1268,San Francisco,San Francisco,,10/27/2027 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Pool, Sauna",TRUE,1406,0,(415) 369-9888,,2199000,03/17/2027 12:00:00 AM,1.75,76210,0,SF426140308,03/17/2027 12:00:00 AM,2199000,3745-373,Residential,-122.391375,37.789133,California,Active,03/17/2027 12:00:00 AM,Contemporary,"Bay, City, San Francisco, Water, City Lights",2008,94105,36A,,,,0
2755 McAllister Street,2,0,3,1804,San Francisco,San Francisco,,12/31/2026 12:00:00 AM,0,,,TRUE,652,1,,,2195000,08/21/2026 12:00:00 AM,0.077,3368,0,SF426155511,08/21/2026 12:00:00 AM,2195000,1168-059,Residential,-122.457547,37.77526,California,Active,08/21/2026 12:00:00 AM,"Contemporary, Luxury",,2018,94118,,,,,0
1423 Golden Gate Avenue,2,0,3,1703,San Francisco,San Francisco,2,12/31/2026 12:00:00 AM,2,,,TRUE,600,1,,,2195000,08/17/2026 12:00:00 AM,0.06,2618,0,SF426155178,08/17/2026 12:00:00 AM,2195000,0775-027,Residential,-122.434088,37.77911,California,Active,08/17/2026 12:00:00 AM,"Victorian, Flat/Low Pitch",City,1890,94115,,,,,0
301 Mission Street,2,1,2,1861,San Francisco,San Francisco,149,12/31/2026 12:00:00 AM,0,,,TRUE,3646,0,(415) 874-4701,,2195000,03/23/2026 12:00:00 AM,1.163,50667,0,SF426112313,03/23/2026 12:00:00 AM,2395000,3719-220,Residential,-122.395932,37.790488,California,Active,03/23/2026 12:00:00 AM,Luxury,,2009,94105,27C,,,,0
38 Meadow Drive,3,1,3,2518,San Francisco,San Francisco,162,08/31/2026 12:00:00 AM,0,,"Park, Gym/ Exercise Facility, Roof Deck, Dog Park, , Trail(s)",TRUE,2403,1,,,2195000,03/10/2026 12:00:00 AM,,0,0,SF426110461,03/10/2026 12:00:00 AM,2195000,8954-040,Residential,-122.366833,37.81084,California,Active,03/10/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, Hills, Mountains, Bay Bridge, Panoramic, Park, Water, Forest/Woods, City Lights",0,94130,6,,,,3
650 Delancey Street,2,0,2,1619,San Francisco,San Francisco,26,10/31/2026 12:00:00 AM,0,,,TRUE,975,2,(415) 345-1270,,2175000,07/24/2026 12:00:00 AM,1.422,61922,0,SF426149175,07/24/2026 12:00:00 AM,2175000,3789-456,Residential,-122.389311,37.783123,California,Active,07/24/2026 12:00:00 AM,Luxury,City,1996,94107,203,,,,0
38 Meadow Drive,2,1,2,2239,San Francisco,San Francisco,71,10/31/2026 12:00:00 AM,0,,"Park, Gym/ Exercise Facility, Roof Deck, Dog Park, , Trail(s)",TRUE,2347,1,,,2100000,06/09/2026 12:00:00 AM,,0,0,SF426137775,06/09/2026 12:00:00 AM,2100000,8954-043,Residential,-122.365532,37.810965,California,Active,06/09/2026 12:00:00 AM,"Contemporary, Luxury, Modern/High Tech","Bay, Hills, Mountains, Bay Bridge, Panoramic, Park, Water, Forest/Woods, City Lights",0,94130,5,,,,3
875 California Street,2,0,2,1474,San Francisco,San Francisco,71,10/31/2026 12:00:00 AM,0,,,TRUE,2534,0,,,2100000,06/09/2026 12:00:00 AM,0.357,15549,0,SF426137874,06/09/2026 12:00:00 AM,2200000,0256-089,Residential,-122.408721,37.791805,California,Active,06/09/2026 12:00:00 AM,"Luxury, Modern/High Tech",Other,2021,94108,202,,,,0
1160 Mission Street,3,0,4,2371,San Francisco,San Francisco,15,11/30/2026 12:00:00 AM,0,,"Club House, Gym/ Exercise Facility, Barbecue Area",TRUE,2703,0,,,2099000,08/04/2026 12:00:00 AM,1,43557,0,SF426152171,08/04/2026 12:00:00 AM,2099000,3702-300,Residential,-122.412221,37.778375,California,Active,08/04/2026 12:00:00 AM,,,2008,94103,2306,,,,0
88 King ,2,0,1,1369,San Francisco,San Francisco,20,07/03/2027 12:00:00 AM,,,"Club House, Additional Storage, Gym/ Exercise Facility, Other, Barbecue Area, Pool, Picnic Area, Sauna, Game Room, , Sauna/ Spa/ Hot Tub, Conference Facilities",TRUE,1500,1,(415) 541-9911,,2099000,07/30/2026 12:00:00 AM,1.886,82157,0,CRPW26166867,,2099000,3793198,Residential,-122.389247,37.780588,California,Active,02/03/2026 12:00:00 AM,,Bay,2000,94107,1022,,,,1
