Address,Baths Full,Baths Half,Beds Total,Sq Ft Total,Postal City,County,DOM,Expiration Date,# of Fireplaces,Garage Spaces,HOA Amenities,HOA Exist YN,HOA Fee,HOA Fee Covers,HOA Name Text,HOA Phone,List Price,Listing Date,Acres,Lot Size,Sale Date,Room Count,MLS Number,Original List Date,Original List Price,Parcel Number,Property Type,Longitude,Latitude,Close Date,Sale Price,State,Status,Status Change Timestamp,View,Year Built,Zip Code,Unit Number,Buyer's Financing
1001 California Street,3,1,3,3637.0,San Francisco,San Francisco,180,10/31/2015 12:00:00 AM,0.0,0.0,,True,5057.0,"Door Person, Maintenance - Exterior, Insurance - Homeowners",,,4450000,10/17/2014 12:00:00 AM,,0.0,04/15/2015 12:00:00 AM,0,SF426300,10/17/2014 12:00:00 AM,4450000,0254-111,Residential,-122.41106,37.791628,04/28/2015 12:00:00 AM,4335000,California,Sold,05/06/2015 12:00:00 AM,"City Lights, San Francisco",1914.0,94108,TH1,Not Reported
2462 Sacramento,4,0,3,3005.0,San Francisco,San Francisco,0,10/31/2016 12:00:00 AM,0.0,0.0,"Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Roof Deck",True,2142.0,"Management Fee, Maintenance - Exterior, , Landscaping/Gardening, Water",,,4295000,10/12/2016 12:00:00 AM,,0.0,10/12/2016 12:00:00 AM,0,SF451871,10/12/2016 12:00:00 AM,4295000,NEWO-RUNDERC-ONSTRUC-TION,Residential,-122.433429,37.79016,10/12/2016 12:00:00 AM,4295000,California,Sold,10/21/2016 12:00:00 AM,"Garden/Greenbelt, Panoramic, San Francisco",2016.0,94115,,All Cash No Loans
136 Pixley Street,5,1,6,3737.0,San Francisco,San Francisco,10,06/30/2021 12:00:00 AM,0.0,0.0,,False,,,,,4250000,02/07/2021 12:00:00 AM,0.032,1375.0,02/17/2021 12:00:00 AM,0,SF513833,02/07/2021 12:00:00 AM,4250000,0516-072,Residential,-122.434717,37.798744,03/19/2021 12:00:00 AM,4250000,California,Sold,03/19/2021 12:00:00 AM,"Bay, Golden Gate Bridge, Panoramic, San Francisco",2013.0,94123,,Not Reported
2220 Sacramento Street,6,1,5,5726.0,San Francisco,San Francisco,154,11/08/2013 12:00:00 AM,3.0,0.0,,True,750.0,"Maintenance - Exterior, Insurance - Homeowners",,,4250000,05/02/2013 12:00:00 AM,,0.0,10/24/2013 12:00:00 AM,0,SF407603,05/02/2013 12:00:00 AM,4495000,627054,Residential,-122.430044,37.790443,11/08/2013 12:00:00 AM,4085000,California,Sold,11/08/2013 12:00:00 AM,,1887.0,94115,,Not Reported
1037 Vallejo Street,2,1,3,2590.0,San Francisco,San Francisco,80,02/28/2015 12:00:00 AM,1.0,0.0,Garden/ Greenbelt/ Trails,True,2867.0,"Management Fee, Door Person, Maintenance - Exterior, , Insurance - Homeowners , Water",Russian Hill Summit HOA,(415) 447-4282,4050000,09/12/2014 12:00:00 AM,,0.0,12/01/2014 12:00:00 AM,0,SF424730,09/12/2014 12:00:00 AM,4190000,0150-058,Residential,-122.414369,37.79768,12/30/2014 12:00:00 AM,4050000,California,Sold,12/31/2014 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Golden Gate Bridge, Garden/Greenbelt, Marina, Mt. Diablo, Panoramic, Water",1998.0,94133,,All Cash No Loans
2661 Union Street,3,0,4,2644.0,San Francisco,San Francisco,33,06/01/2016 12:00:00 AM,1.0,0.0,,False,,,,,4200000,03/18/2016 12:00:00 AM,,0.0,04/20/2016 12:00:00 AM,0,SF443278,03/18/2016 12:00:00 AM,4200000,951A5,Residential,-122.443113,37.795915,05/06/2016 12:00:00 AM,4025000,California,Sold,05/09/2016 12:00:00 AM,"Bay, Golden Gate Bridge, Garden/Greenbelt, Partial, Water",1966.0,94123,,Not Reported
2121 Webster Street,3,1,3,2615.0,San Francisco,San Francisco,0,12/01/2025 12:00:00 AM,0.0,1.0,,True,2578.0,,,,3695000,08/17/2025 12:00:00 AM,1.085,47275.0,08/18/2025 12:00:00 AM,0,SF425068149,08/17/2025 12:00:00 AM,3695000,0629-139,Residential,-122.432847,37.790168,08/18/2025 12:00:00 AM,4000000,California,Sold,08/18/2025 12:00:00 AM,,2016.0,94115,TH10,Not Reported
2157 15th Street,3,1,3,3477.0,San Francisco,San Francisco,46,05/15/2024 12:00:00 AM,0.0,0.0,,True,30.0,,,,3995000,05/31/2023 12:00:00 AM,,0.0,07/16/2023 12:00:00 AM,0,SF423741564,05/31/2023 12:00:00 AM,3995000,3560-137,Residential,-122.432285,37.765732,09/15/2023 12:00:00 AM,3967800,California,Sold,09/15/2023 12:00:00 AM,,0.0,94114,,Not Reported
2220 Sacramento,5,1,5,0.0,San Francisco,San Francisco,35,10/01/2009 12:00:00 AM,4.0,0.0,,True,750.0,,,,3950000,03/12/2009 12:00:00 AM,,0.0,04/16/2009 12:00:00 AM,0,SF353920,03/12/2009 12:00:00 AM,3950000,0627-054,Residential,-122.430044,37.790443,05/29/2009 12:00:00 AM,3950000,California,Sold,05/29/2009 12:00:00 AM,City Lights,0.0,94115,,Not Reported
184 Francisco Street,2,1,3,2473.0,San Francisco,San Francisco,56,06/13/2015 12:00:00 AM,2.0,0.0,Garden/ Greenbelt/ Trails,True,2170.0,"Management Fee, Insurance - Earthquake, Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Security Service",Telegraph Terrace Condo Owners Assn.,(415) 921-5733,3995000,03/13/2015 12:00:00 AM,,0.0,05/08/2015 12:00:00 AM,0,SF430668,03/13/2015 12:00:00 AM,3995000,0038-017,Residential,-122.408389,37.805472,05/22/2015 12:00:00 AM,3900000,California,Sold,05/23/2015 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Garden/Greenbelt, Hills, Panoramic, San Francisco, Water",1988.0,94133,6,Other
2121 Webster Street,3,1,3,2424.0,San Francisco,San Francisco,0,05/20/2019 12:00:00 AM,0.0,0.0,"Garden/ Greenbelt/ Trails, Gym/ Exercise Facility, Recreation Room, Roof Deck",True,2242.0,"Management Fee, Door Person, Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Security Service, Water",,,3998000,04/12/2019 12:00:00 AM,,0.0,04/12/2019 12:00:00 AM,0,SF483398,04/12/2019 12:00:00 AM,3998000,0629-133,Residential,-122.432972,37.790221,04/24/2019 12:00:00 AM,3890000,California,Sold,04/24/2019 12:00:00 AM,Garden/Greenbelt,2016.0,94115,TH4,All Cash No Loans
1338 Filbert Street,3,1,3,2585.0,San Francisco,San Francisco,121,10/31/2017 12:00:00 AM,1.0,0.0,,True,985.0,"Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Water",,,4099000,06/26/2017 12:00:00 AM,,0.0,10/25/2017 12:00:00 AM,0,SF459693,06/26/2017 12:00:00 AM,4099000,0524-033,Residential,-122.421539,37.800098,10/31/2017 12:00:00 AM,3810000,California,Sold,10/31/2017 12:00:00 AM,"City Lights, Golden Gate Bridge",1906.0,94109,C,Other
1001 California Street,3,1,4,3680.0,San Francisco,San Francisco,403,04/30/2021 12:00:00 AM,0.0,0.0,,True,5753.0,"Management Fee, Door Person,",,,3995000,10/07/2019 12:00:00 AM,,0.0,12/24/2020 12:00:00 AM,0,SF491101,10/07/2019 12:00:00 AM,4995000,0254-111,Residential,-122.41106,37.791628,02/01/2021 12:00:00 AM,3600000,California,Sold,02/01/2021 12:00:00 AM,"City Lights, Downtown, San Francisco",1914.0,94108,TH1,Not Reported
1035 Vallejo Street,2,1,3,2189.0,San Francisco,San Francisco,68,06/26/2018 12:00:00 AM,1.0,0.0,,True,3187.0,"Management Fee, Door Person, Gas, , Landscaping/Gardening, Water",Russian Hill Summit,,3750000,01/03/2018 12:00:00 AM,,0.0,03/12/2018 12:00:00 AM,0,SF465727,01/03/2018 12:00:00 AM,3950000,0150-057,Residential,-122.414369,37.79768,03/20/2018 12:00:00 AM,3600000,California,Sold,03/21/2018 12:00:00 AM,"Bay, City Lights, Downtown, Water",1998.0,94133,,All Cash No Loans
10 Southard Place,2,1,3,2161.0,San Francisco,San Francisco,5,05/15/2017 12:00:00 AM,1.0,0.0,,True,592.0,,,,3495000,01/12/2017 12:00:00 AM,,0.0,01/17/2017 12:00:00 AM,0,SF453153,01/12/2017 12:00:00 AM,3495000,0071-078,Residential,-122.419012,37.801367,02/06/2017 12:00:00 AM,3595000,California,Sold,02/09/2017 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, San Francisco",1982.0,94109,1,Conventional Loan
1629 Green Street,2,1,2,2630.0,San Francisco,San Francisco,7,07/31/2019 12:00:00 AM,1.0,0.0,,True,600.0,"Electricity, , Insurance - Homeowners , Water",,,2995000,03/22/2019 12:00:00 AM,,0.0,03/29/2019 12:00:00 AM,0,SF482524,03/22/2019 12:00:00 AM,2995000,0552-023,Residential,-122.438231,37.802041,05/20/2019 12:00:00 AM,3525000,California,Sold,05/28/2019 12:00:00 AM,Garden/Greenbelt,1917.0,94123,,Other
1045 Vallejo Street,2,1,3,0.0,San Francisco,San Francisco,2,10/10/2006 12:00:00 AM,2.0,0.0,,True,,,,,3400000,04/10/2006 12:00:00 AM,,0.0,04/12/2006 12:00:00 AM,0,SF304425,04/10/2006 12:00:00 AM,3400000,0150-062,Residential,-122.414574,37.797662,06/22/2006 12:00:00 AM,3500000,California,Sold,06/22/2006 12:00:00 AM,"Bay, City Lights, Downtown, Golden Gate Bridge, Water",1998.0,94133,,Not Reported
186 Francisco Street,3,1,3,0.0,San Francisco,San Francisco,15,08/12/2014 12:00:00 AM,2.0,0.0,Garden/ Greenbelt/ Trails,True,2172.0,"Management Fee, Insurance - Earthquake, Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Security Service, Water",,,2998000,02/26/2014 12:00:00 AM,,0.0,03/13/2014 12:00:00 AM,0,SF417728,02/26/2014 12:00:00 AM,2998000,0038-015,Residential,-122.408336,37.805549,03/25/2014 12:00:00 AM,3450000,California,Sold,03/25/2014 12:00:00 AM,"Bay, Bay Bridge, City Lights, Golden Gate Bridge, Panoramic, San Francisco, Water",1988.0,94133,4,All Cash No Loans
2460 Broadway Street,4,1,4,3676.0,San Francisco,San Francisco,27,07/25/2011 12:00:00 AM,2.0,0.0,,True,750.0,", Landscaping/Gardening, Insurance - Homeowners , Water",,,3450000,04/07/2011 12:00:00 AM,,0.0,05/04/2011 12:00:00 AM,0,SF383340,04/07/2011 12:00:00 AM,3450000,0562-038,Residential,-122.43762,37.794231,06/22/2011 12:00:00 AM,3450000,California,Sold,06/27/2011 12:00:00 AM,"Bay, Panoramic, Water",0.0,94115,,Other
341 Filbert Street,3,0,3,2890.0,San Francisco,San Francisco,192,10/27/2013 12:00:00 AM,1.0,0.0,,True,428.0,", Water",,,3800000,02/28/2013 12:00:00 AM,,0.0,10/11/2013 12:00:00 AM,0,SF405367,02/28/2013 12:00:00 AM,4250000,0105-064,Residential,-122.405221,37.801717,10/18/2013 12:00:00 AM,3425000,California,Sold,10/19/2013 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Garden/Greenbelt, Hills, Park, Panoramic, Partial, San Francisco, Water",1995.0,94133,,All Cash No Loans
550 Davis Street,3,0,4,2251.0,San Francisco,San Francisco,85,03/31/2016 12:00:00 AM,1.0,0.0,Garden/ Greenbelt/ Trails,True,1349.0,"Management Fee, Electricity, Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Water",Golden Gateway Commons I HOA,(415) 447-4282,3549000,11/19/2015 12:00:00 AM,,0.0,02/12/2016 12:00:00 AM,0,SF439103,11/19/2015 12:00:00 AM,3549000,0171-038,Residential,-122.398275,37.797573,03/04/2016 12:00:00 AM,3400000,California,Sold,03/05/2016 12:00:00 AM,"Bay Bridge, City Lights, Downtown, Garden/Greenbelt, Panoramic, San Francisco, Water",1981.0,94111,21,Not Reported
1810 Green Street,3,1,3,2000.0,San Francisco,San Francisco,45,08/31/2015 12:00:00 AM,3.0,0.0,,True,250.0,,,,2795000,06/01/2015 12:00:00 AM,,0.0,07/16/2015 12:00:00 AM,0,SF433627,06/01/2015 12:00:00 AM,2795000,0543-043,Residential,-122.438231,37.802041,07/24/2015 12:00:00 AM,3400000,California,Sold,07/24/2015 12:00:00 AM,"Bay, Golden Gate Bridge, San Francisco",1900.0,94123,,Conventional Loan
1269 Lombard Street,3,1,4,2481.0,San Francisco,San Francisco,140,07/13/2014 12:00:00 AM,0.0,0.0,,True,343.0,"Maintenance - Exterior, , Water",The Lombard Villas,,3450000,01/15/2014 12:00:00 AM,,0.0,06/04/2014 12:00:00 AM,0,SF416376,01/15/2014 12:00:00 AM,3450000,50191,Residential,-122.42242,37.801537,07/02/2014 12:00:00 AM,3375000,California,Sold,07/02/2014 12:00:00 AM,"Bay, City Lights, Golden Gate Bridge, Marina, Panoramic, Water",2013.0,94109,A,Conventional Loan
1901 Jackson Street,4,1,5,5333.0,San Francisco,San Francisco,102,01/09/2009 12:00:00 AM,3.0,0.0,,True,500.0,"Electricity, Maintenance - Exterior, Insurance - Homeowners",,,3790000,01/09/2008 12:00:00 AM,,0.0,04/20/2008 12:00:00 AM,0,SF335406,01/09/2008 12:00:00 AM,3790000,0601-021,Residential,-122.426507,37.793183,05/02/2008 12:00:00 AM,3375000,California,Sold,05/05/2008 12:00:00 AM,"Bay, Marina, Ocean, Park, Panoramic, Partial, San Francisco, Water",1900.0,94109,1,Not Reported
1275 Lombard,3,1,3,4637.0,San Francisco,San Francisco,141,01/07/2011 12:00:00 AM,2.0,0.0,,True,720.0,,,,3750000,01/07/2010 12:00:00 AM,,0.0,05/28/2010 12:00:00 AM,0,SF364513,01/07/2010 12:00:00 AM,3750000,0501-072,Residential,-122.422483,37.801529,06/02/2010 12:00:00 AM,3325000,California,Sold,06/03/2010 12:00:00 AM,"Bay, City Lights, Panoramic, Water",0.0,94109,,Conventional Loan
1001 California Street,3,1,3,3465.0,San Francisco,San Francisco,191,06/30/2021 12:00:00 AM,1.0,0.0,,True,6233.0,"Door Person, Insurance - Homeowners , Landscaping/Gardening, Management Fee, , Water",,,3450000,10/15/2020 12:00:00 AM,,0.0,05/12/2021 12:00:00 AM,0,SF508255,10/15/2020 12:00:00 AM,3450000,0254-112,Residential,-122.41106,37.791628,05/20/2021 12:00:00 AM,3300000,California,Sold,05/20/2021 12:00:00 AM,,1914.0,94108,TH 2,Not Reported
2115 Broadway Street,3,1,4,3013.0,San Francisco,San Francisco,143,12/31/2020 12:00:00 AM,2.0,0.0,,True,215.0,", Insurance - Homeowners , Water",,,3499000,06/02/2020 12:00:00 AM,,0.0,10/23/2020 12:00:00 AM,0,SF495811,06/02/2020 12:00:00 AM,3850000,0580-106,Residential,-122.432222,37.794317,11/06/2020 12:00:00 AM,3300000,California,Sold,11/06/2020 12:00:00 AM,"Bay, City Lights, Golden Gate Bridge, Partial, Water",2003.0,94115,,Not Reported
1911 Vallejo,3,1,3,0.0,San Francisco,San Francisco,7,05/16/2008 12:00:00 AM,2.0,0.0,,False,,,,,3300000,05/08/2008 12:00:00 AM,,0.0,05/15/2008 12:00:00 AM,0,SF341800,05/08/2008 12:00:00 AM,3300000,0567-0129,Residential,-122.429167,37.795791,05/15/2008 12:00:00 AM,3300000,California,Sold,05/15/2008 12:00:00 AM,"Bay, City Lights, Park, Water",0.0,94123,,Conventional Loan
3157 Sacramento Street,2,1,4,2400.0,San Francisco,San Francisco,23,03/20/2021 12:00:00 AM,1.0,0.0,,True,675.0,", Insurance - Homeowners , Water",,,3195000,01/11/2021 12:00:00 AM,,0.0,02/03/2021 12:00:00 AM,0,SF512039,01/11/2021 12:00:00 AM,3195000,1023-103,Residential,-122.444792,37.788178,03/30/2021 12:00:00 AM,3250000,California,Sold,03/30/2021 12:00:00 AM,"City Lights, Panoramic",2004.0,94115,,Conventional Loan
75 Lansing Street,2,1,3,0.0,San Francisco,San Francisco,16,09/30/2011 12:00:00 AM,0.0,0.0,,True,676.0,"Maintenance - Exterior,",75 Lansing HOA,,3250000,06/29/2011 12:00:00 AM,,0.0,07/15/2011 12:00:00 AM,0,SF386715,06/29/2011 12:00:00 AM,3250000,3749-186,Residential,-122.394233,37.785712,08/04/2011 12:00:00 AM,3250000,California,Sold,08/29/2011 12:00:00 AM,"City Lights, Downtown, San Francisco",0.0,94105,3,Not Reported
2661 Union Street,2,0,3,0.0,San Francisco,San Francisco,4,11/19/2007 12:00:00 AM,1.0,0.0,,False,,,,,2950000,09/19/2007 12:00:00 AM,,0.0,09/23/2007 12:00:00 AM,0,SF331177,09/19/2007 12:00:00 AM,2950000,0951-A005,Residential,-122.443113,37.795915,10/24/2007 12:00:00 AM,3250000,California,Sold,10/25/2007 12:00:00 AM,"Bay, Partial",1966.0,94123,,Other
2470 Sacramento Street,3,1,3,2404.0,San Francisco,San Francisco,88,03/31/2017 12:00:00 AM,0.0,0.0,Gym/ Exercise Facility,True,1775.0,"Management Fee, Door Person, Maintenance - Exterior, , Landscaping/Gardening, Insurance - Homeowners , Security Service, Water",The Pacific,,3295000,10/29/2016 12:00:00 AM,,0.0,01/25/2017 12:00:00 AM,0,SF452183,10/29/2016 12:00:00 AM,3295000,NEWO-RUNDERC-ONSTRUC-TION,Residential,-122.433527,37.790008,02/24/2017 12:00:00 AM,3200000,California,Sold,03/19/2017 12:00:00 AM,"Park, Partial",2016.0,94115,,Conventional Loan
2201 Leavenworth Street,2,1,3,2030.0,San Francisco,San Francisco,11,09/10/2016 12:00:00 AM,1.0,0.0,,True,321.0,", Insurance - Homeowners , Water",,,2995000,03/10/2016 12:00:00 AM,,0.0,03/21/2016 12:00:00 AM,0,SF442897,03/10/2016 12:00:00 AM,2995000,0071-065,Residential,-122.41807,37.801451,03/28/2016 12:00:00 AM,3200000,California,Sold,03/28/2016 12:00:00 AM,"Bay, Bay Bridge, City Lights, Downtown, Garden/Greenbelt, Partial, San Francisco, Water",1938.0,94133,,Not Reported
1980 Grant Avenue,2,1,3,2613.0,San Francisco,San Francisco,16,11/22/2014 12:00:00 AM,2.0,0.0,,True,2140.0,"Insurance - Earthquake, Maintenance - Exterior, , Landscaping/Gardening",,,2998000,05/22/2014 12:00:00 AM,,0.0,06/07/2014 12:00:00 AM,0,SF421015,05/22/2014 12:00:00 AM,2998000,0055-021,Residential,-122.408007,37.805089,07/02/2014 12:00:00 AM,3200000,California,Sold,07/02/2014 12:00:00 AM,"Bay, Bay Bridge, City Lights, Golden Gate Bridge, Mountains, Panoramic, San Francisco, Water",1988.0,94133,7,Conventional Loan
175 Francisco Street,2,1,3,0.0,San Francisco,San Francisco,83,12/31/2008 12:00:00 AM,2.0,0.0,,True,2192.0,", Landscaping/Gardening, Security Service, Water",,,3750000,10/01/2008 12:00:00 AM,,0.0,12/23/2008 12:00:00 AM,0,SF348039,10/01/2008 12:00:00 AM,3750000,0055-032,Residential,-122.408007,37.805089,01/28/2009 12:00:00 AM,3200000,California,Sold,01/30/2009 12:00:00 AM,"Bay, Bay Bridge, Golden Gate Bridge, Water",1988.0,94133,18,Not Reported
37 Meadow Drive,3,1,3,2443.0,San Francisco,San Francisco,0,04/30/2025 12:00:00 AM,0.0,1.0,"Club House, Park, Gym/ Exercise Facility, Pool, Roof Deck, Dog Park, Sauna, , Sauna/ Spa/ Hot Tub, Trail(s)",True,1444.0,"Maintenance - Exterior, Gas, Landscaping/Gardening, Management Fee, Organized Activities, Pools, Spa, or Tennis, Roof, Security Service, , Maintenance - Road, Insurance - Structure, Common Area Gas, Maintenance - Common Area",YBI Community & The Townhome Associaiton,,3195000,04/06/2024 12:00:00 AM,,0.0,04/06/2024 12:00:00 AM,0,SF424021996,04/06/2024 12:00:00 AM,3195000,8954-0001,Residential,-122.36686,37.810766,04/12/2024 12:00:00 AM,3195000,California,Sold,04/12/2024 12:00:00 AM,"Bay, Golden Gate Bridge, Bridge(s), Bay Bridge, Panoramic, Park, Water",2024.0,94130,4,All Cash No Loans
37 Meadow Drive,3,1,3,2445.0,San Francisco,San Francisco,1,03/31/2025 12:00:00 AM,0.0,1.0,"Club House, Park, Gym/ Exercise Facility, Pool, Roof Deck, Dog Park, Sauna, , Sauna/ Spa/ Hot Tub, Trail(s)",True,1453.0,"Maintenance - Exterior, Gas, Landscaping/Gardening, Management Fee, Organized Activities, Pools, Spa, or Tennis, Roof, Security Service, , Maintenance - Road, Insurance - Structure, Common Area Gas, Maintenance - Common Area",YBI Community & The Townhome Associaiton,,3195000,03/26/2024 12:00:00 AM,,0.0,03/27/2024 12:00:00 AM,0,SF424017074,03/26/2024 12:00:00 AM,3195000,8954-001,Residential,-122.370261,37.822936,06/28/2024 12:00:00 AM,3175000,California,Sold,06/28/2024 12:00:00 AM,"Bay, Golden Gate Bridge, Bridge(s), Bay Bridge, Panoramic, Park, Water",2024.0,94130,2,Conventional Loan
1269 Lombard Street,3,1,4,2481.0,San Francisco,San Francisco,17,12/31/2018 12:00:00 AM,0.0,0.0,,True,600.0,"Maintenance - Exterior, , Insurance - Homeowners , Water",,,2995000,09/17/2018 12:00:00 AM,,0.0,10/04/2018 12:00:00 AM,0,SF476236,09/17/2018 12:00:00 AM,2995000,0501-091,Residential,-122.42242,37.801537,10/23/2018 12:00:00 AM,3175000,California,Sold,10/24/2018 12:00:00 AM,"Bay, City Lights, Golden Gate Bridge",2013.0,94109,A,Not Reported
